geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,unemployed,labor_force,receives_snap,snap_universe,receives_pai,pai_universe,uninsured,insured_universe,median_percentage_income_rent
06085501501,"Census Tract 5015.01, Santa Clara County, California",4870,41308.0,-666666666.0,435.0,280.0,56.0,0.0,1248.0,9.0,0.0,10.0,3267.0,190.0,2382.0,187.0,1322.0,87.0,1322.0,972.0,4870.0,39.5
06085501502,"Census Tract 5015.02, Santa Clara County, California",4609,63516.0,530500.0,492.0,547.0,103.0,17.0,752.0,0.0,0.0,84.0,3123.0,192.0,2363.0,150.0,1181.0,114.0,1181.0,541.0,4609.0,28.8
06085501600,"Census Tract 5016, Santa Clara County, California",7091,54269.0,673400.0,1577.0,2186.0,362.0,74.0,1027.0,266.0,0.0,324.0,2890.0,461.0,4686.0,180.0,2495.0,54.0,2495.0,862.0,7091.0,41.5
06085501700,"Census Tract 5017, Santa Clara County, California",4976,39780.0,588800.0,403.0,706.0,45.0,49.0,107.0,12.0,0.0,42.0,4064.0,216.0,2384.0,307.0,1344.0,52.0,1344.0,838.0,4976.0,49.2
06085501800,"Census Tract 5018, Santa Clara County, California",5321,92574.0,704900.0,1270.0,1952.0,31.0,61.0,279.0,149.0,0.0,255.0,2604.0,275.0,3053.0,139.0,1737.0,45.0,1737.0,669.0,5321.0,31.5
06085501900,"Census Tract 5019, Santa Clara County, California",5383,82417.0,539400.0,2092.0,2137.0,136.0,57.0,1139.0,0.0,16.0,305.0,1635.0,268.0,3604.0,86.0,2637.0,14.0,2637.0,470.0,5367.0,31.1
06085502001,"Census Tract 5020.01, Santa Clara County, California",5562,64337.0,555000.0,1150.0,1519.0,326.0,17.0,542.0,0.0,0.0,251.0,2917.0,230.0,3386.0,187.0,2113.0,151.0,2113.0,497.0,5562.0,33.1
06085502002,"Census Tract 5020.02, Santa Clara County, California",5145,46046.0,461300.0,621.0,855.0,194.0,31.0,460.0,0.0,102.0,109.0,3425.0,253.0,2663.0,234.0,1653.0,106.0,1653.0,918.0,5145.0,41.1
06085502101,"Census Tract 5021.01, Santa Clara County, California",5090,98867.0,657000.0,1973.0,2841.0,90.0,43.0,1033.0,0.0,34.0,74.0,975.0,117.0,2942.0,20.0,1935.0,15.0,1935.0,362.0,4969.0,28.9
06085502102,"Census Tract 5021.02, Santa Clara County, California",7603,54606.0,631300.0,1663.0,1701.0,433.0,98.0,1094.0,10.0,6.0,266.0,4089.0,101.0,3953.0,334.0,2693.0,42.0,2693.0,1447.0,7419.0,34.7
06085502201,"Census Tract 5022.01, Santa Clara County, California",6941,57667.0,476200.0,1946.0,2704.0,455.0,0.0,1111.0,0.0,0.0,460.0,2211.0,351.0,4245.0,240.0,3032.0,78.0,3032.0,972.0,6941.0,32.7
06085502202,"Census Tract 5022.02, Santa Clara County, California",3264,104643.0,714800.0,1334.0,1996.0,12.0,47.0,504.0,0.0,0.0,136.0,605.0,85.0,2003.0,27.0,1446.0,0.0,1446.0,119.0,3132.0,28.3
06085502301,"Census Tract 5023.01, Santa Clara County, California",3524,123942.0,1134100.0,1406.0,2362.0,137.0,35.0,278.0,0.0,90.0,104.0,553.0,139.0,1876.0,8.0,1354.0,0.0,1354.0,133.0,3524.0,27.0
06085502302,"Census Tract 5023.02, Santa Clara County, California",2813,83507.0,938800.0,993.0,1751.0,26.0,20.0,235.0,0.0,0.0,92.0,689.0,30.0,1857.0,43.0,1275.0,26.0,1275.0,94.0,2813.0,28.9
